JDHEL V-C s1 V-K1 s2 C-K1 s3
Aperture: 7, Filter: rp, JD: geocentric
2458243.5913176 -1.24616 0.01131 -1.64843 0.01480 -0.40228 0.01769
2458243.5921985 -1.25384 0.01115 -1.65885 0.01516 -0.40501 0.01791
2458243.5935284 -1.25001 0.01110 -1.64976 0.01532 -0.39976 0.01799
2458243.5939714 -1.26998 0.01132 -1.63078 0.01488 -0.36079 0.01780
2458243.5952979 -1.24251 0.01123 -1.63347 0.01491 -0.39096 0.01772
2458243.5957430 -1.26665 0.01116 -1.64115 0.01505 -0.37450 0.01783
2458243.5970646 -1.24462 0.01128 -1.64275 0.01532 -0.39813 0.01809
2458243.5975061 -1.27028 0.01140 -1.63115 0.01531 -0.36087 0.01818
2458243.5979501 -1.23651 0.01136 -1.66727 0.01551 -0.43076 0.01831
2458243.5983915 -1.27451 0.01150 -1.68090 0.01588 -0.40639 0.01873
2458243.5988337 -1.25652 0.01143 -1.64667 0.01525 -0.39015 0.01815
2458243.5992942 99.99999 9.99999 99.99999 9.99999 -0.42544 0.01845
2458243.5997419 99.99999 9.99999 99.99999 9.99999 -0.38643 0.01828
2458243.6001817 99.99999 9.99999 99.99999 9.99999 -0.38427 0.01812
2458243.6006245 99.99999 9.99999 99.99999 9.99999 -0.43808 0.01851
2458243.6019490 -1.26430 0.01141 -1.65327 0.01543 -0.38897 0.01831
2458243.6023899 -1.27173 0.01143 -1.64151 0.01498 -0.36979 0.01788
2458243.6028387 -1.26015 0.01144 -1.65671 0.01527 -0.39656 0.01819
2458243.6037215 99.99999 9.99999 99.99999 9.99999 -0.37913 0.01814
2458243.6041633 -1.25999 0.01126 -1.65493 0.01511 -0.39494 0.01794
2458243.6046142 99.99999 9.99999 99.99999 9.99999 -0.37925 0.01826
2458243.6068490 99.99999 9.99999 99.99999 9.99999 99.99999 9.99999
2458243.6077314 -1.21958 0.01122 99.99999 9.99999 99.99999 9.99999
2458243.6081735 -1.24349 0.01135 -1.66957 0.01560 -0.42607 0.01838
2458243.6086144 -1.22237 0.01122 -1.64298 0.01522 -0.42061 0.01800
2458243.6090554 99.99999 9.99999 -1.67230 0.01561 99.99999 9.99999
2458243.6113315 -1.25237 0.01135 -1.67303 0.01570 -0.42066 0.01846
2458243.6117741 -1.22434 0.01123 -1.64667 0.01537 -0.42233 0.01811
2458243.6135635 -1.26245 0.01151 -1.66007 0.01524 -0.39762 0.01822
