JDHEL V-C s1 V-K1 s2 C-K1 s3
Aperture: 11, Filter: SDSS r, JD: geocentric
2458853.5348958 -0.61618 0.00923 -0.73901 0.00989 -0.12283 0.01190
2458853.5354745 -0.60266 0.00914 -0.72730 0.00981 -0.12464 0.01173
2458853.5360532 -0.61537 0.00924 -0.73556 0.00997 -0.12019 0.01189
2458853.5366204 -0.59554 0.00899 -0.71501 0.00969 -0.11946 0.01160
2458853.5371875 -0.58181 0.00900 -0.72071 0.00992 -0.13890 0.01170
2458853.5377778 -0.62789 0.00928 -0.73837 0.00978 -0.11048 0.01188
2458853.5383565 -0.60701 0.00921 -0.71908 0.00970 -0.11207 0.01175
2458853.5389352 -0.62680 0.00894 -0.75706 0.00973 -0.13026 0.01162
2458853.5395023 -0.61678 0.00890 -0.74314 0.00953 -0.12636 0.01137
2458853.5400926 -0.60714 0.00885 -0.71929 0.00945 -0.11215 0.01135
2458853.5406829 -0.60740 0.00901 -0.72433 0.00957 -0.11693 0.01162
2458853.5412384 -0.60950 0.00882 -0.74172 0.00963 -0.13222 0.01144
2458853.5418171 -0.59500 0.00894 -0.72848 0.00945 -0.13348 0.01137
2458853.5423958 -0.61282 0.00875 -0.75403 0.00941 -0.14121 0.01129
2458853.5429514 -0.60989 0.00895 -0.72420 0.00937 -0.11431 0.01133
2458853.5435185 -0.63151 0.00896 -0.73726 0.00955 -0.10576 0.01156
2458853.5440972 -0.60263 0.00888 -0.73784 0.00958 -0.13521 0.01151
2458853.5446644 -0.59758 0.00874 -0.73979 0.00942 -0.14220 0.01126
2458853.5453009 -0.60916 0.00866 -0.76730 0.00962 -0.15814 0.01141
2458853.5458796 -0.62456 0.00890 -0.74514 0.00927 -0.12058 0.01126
2458853.5464468 -0.60459 0.00881 -0.74068 0.00962 -0.13610 0.01142
2458853.5470255 -0.62158 0.00874 -0.73431 0.00906 -0.11273 0.01110
2458853.5476042 -0.63874 0.00875 -0.74138 0.00923 -0.10264 0.01118
2458853.5481829 -0.60585 0.00877 -0.74680 0.00938 -0.14094 0.01128
2458853.5487500 -0.62576 0.00849 -0.74661 0.00941 -0.12085 0.01114
2458853.5493287 -0.61740 0.00876 -0.75928 0.00936 -0.14188 0.01129
2458853.5498958 -0.64332 0.00867 -0.76458 0.00913 -0.12126 0.01107
2458853.5504745 -0.64005 0.00874 -0.76570 0.00931 -0.12565 0.01128
2458853.5510648 -0.61948 0.00860 -0.74705 0.00916 -0.12758 0.01106
2458853.5516319 -0.62376 0.00863 -0.75003 0.00913 -0.12627 0.01101
2458853.5522222 -0.62930 0.00866 -0.77571 0.00908 -0.14641 0.01106
